Nstp     TIME       AvrPFI_D     VarPFI_D    Dfs(m*m/s)   Dflow(m/s)     AvrPFI_E     VarPfi_E    Kai(m*m/s)   Eflow(m./s)
 180  4.48253E-03 -1.02413E+00  1.98127E-04  5.87227E-03 -9.73963E-03  -1.02413E+00  1.97958E-04  5.86760E-03 -9.98542E-03
 181  4.50625E-03 -1.02420E+00  2.00472E-04  5.87443E-03 -9.86006E-03  -1.02420E+00  2.00322E-04  5.86973E-03 -1.01022E-02
 182  4.52996E-03 -1.02432E+00  1.98427E-04  5.87352E-03 -1.04315E-02  -1.02432E+00  1.98295E-04  5.86881E-03 -1.06746E-02
 183  4.55368E-03 -1.02431E+00  1.94056E-04  5.86669E-03 -1.09598E-02  -1.02431E+00  1.93922E-04  5.86197E-03 -1.12051E-02
 184  4.57740E-03 -1.02420E+00  1.95100E-04  5.85973E-03 -1.10515E-02  -1.02421E+00  1.94952E-04  5.85498E-03 -1.12951E-02
 185  4.60111E-03 -1.02418E+00  2.01666E-04  5.85885E-03 -1.10573E-02  -1.02418E+00  2.01525E-04  5.85409E-03 -1.12959E-02
 186  4.62483E-03 -1.02426E+00  2.04350E-04  5.85999E-03 -1.13364E-02  -1.02426E+00  2.04220E-04  5.85523E-03 -1.15729E-02
 187  4.64855E-03 -1.02430E+00  2.01534E-04  5.85724E-03 -1.17751E-02  -1.02430E+00  2.01388E-04  5.85246E-03 -1.20128E-02
 188  4.67227E-03 -1.02429E+00  2.01760E-04  5.85359E-03 -1.21454E-02  -1.02429E+00  2.01612E-04  5.84880E-03 -1.23836E-02
 189  4.69598E-03 -1.02425E+00  2.01977E-04  5.84922E-03 -1.23781E-02  -1.02425E+00  2.01832E-04  5.84441E-03 -1.26158E-02
 190  4.71970E-03 -1.02424E+00  2.06040E-04  5.84796E-03 -1.25679E-02  -1.02424E+00  2.05881E-04  5.84313E-03 -1.28037E-02
 191  4.74342E-03 -1.02429E+00  2.06631E-04  5.84656E-03 -1.29332E-02  -1.02430E+00  2.06461E-04  5.84170E-03 -1.31684E-02
